dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Malaysian Dwarf Coconut Seedlings,40.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"The Malaysian Coconut is available for sale.
Maturity 12 months to 18 months 
Short in height and...",False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Fresh Farm Eggs for Sale,48.0,Bulk prices,Central Region,Ajumako/Enyan/Essiam,"Central Region, Ajumako/Enyan/Essiam",,Fresh and Neat farm eggs available in both wholesale and retail,False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Jumbo Dwarf Mango Seedlings,50.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"The jumbo mango seedlings is the best in town, it takes only year and a half to maturity and...",False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Organic Pumpkin Seed,70.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Verified ID,"Pumpkin seeds offer numerous health benefits, including improved heart health, better sleep, and...",False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Pesticide and Insecticide,25.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Effective systemic and contact pesticide and insecticide available at Asiva Agro Chemicals located...,False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Tomato Seeds,40.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Viable certified vegetable seeds for your home and commercial propagation.,False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Habanero Seeds - Rouge [50g],400.0,,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,"Habanero Rouge by Advanta is a premium chili pepper variety known for its intense heat, vibrant red...",False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",13 Hp Gasoline Tiller,10800.0,,Greater Accra,North Industrial Area,"Greater Accra, North Industrial Area","Verified ID, 3+ years on Jiji",13 hp Nulux engin powered tiller.,True,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming",Miracle Berry Seedlings,80.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"Miracle Berry Seedlings for Sale! 
Looking for a unique fruit that naturally turns sour tastes into...",False,Platform A,
"SG Market Price Index – Food, Agriculture & Farming","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Food, Agriculture & Farming","Certified Planting Maize Seeds (Obatanpa, Honampa)",35.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Certified planting maize seeds available at Asiva Agro Chemicals located at Amrahia-Katamanso...,False,Platform A,
